pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,expected,exprs-total-size,exprs-details,adheres,smt-result
299131030,CLIA_Track/fg_array_search_10.sl,4786901,EUSolver,11893,default,219860,complete,6.24391,6.24491,337784.0,correct,correct,411,(findIdx 411),true,sat
299131031,CLIA_Track/fg_array_search_10.sl,4786901,EUSolver_new,11898,default,219869,complete,6.29852,6.30054,337528.0,correct,correct,411,(findIdx 411),true,sat
299131032,CLIA_Track/fg_array_search_10.sl,4786901,Euphony,11902,default,219874,complete,6.54328,6.54547,346184.0,correct,correct,411,(findIdx 411),true,sat
299131033,CLIA_Track/fg_array_search_10.sl,4786901,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.42,3600.05,479392.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131034,CLIA_Track/fg_array_search_10.sl,4786901,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.057552,0.0553539,113120.0,correct,correct,1035,(findIdx 1035),true,sat
299131035,CLIA_Track/fg_array_search_10.sl,4786901,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.73,3600.03,477872.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131036,CLIA_Track/fg_array_search_10.sl,4786901,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.067487,0.0632881,113120.0,correct,correct,1489,(findIdx 1489),true,sat
299131037,CLIA_Track/fg_array_search_10.sl,4786901,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.063185,0.060429,113120.0,correct,correct,1035,(findIdx 1035),true,sat
299131038,CLIA_Track/fg_array_search_10.sl,4786901,DryadSynth,12292,autothreads,223920,timeout (wallclock),14162.9,3600.07,3.7489956E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131039,CLIA_Track/fg_array_search_10.sl,4786901,DryadSynth,12292,default,223921,timeout (wallclock),14292.8,3600.06,3.5919452E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131040,CLIA_Track/fg_array_search_10.sl,4786901,DryadSynth,12292,fallback,223922,timeout (wallclock),3601.53,3600.07,3.5639124E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131041,CLIA_Track/fg_array_search_10.sl,4786901,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14291.8,3600.09,3.6372324E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131042,CLIA_Track/fg_array_search_11.sl,4786902,EUSolver,11893,default,219860,complete,8.61491,8.61752,338300.0,correct,correct,496,(findIdx 496),true,sat
299131043,CLIA_Track/fg_array_search_11.sl,4786902,EUSolver_new,11898,default,219869,complete,8.67042,8.67142,338300.0,correct,correct,496,(findIdx 496),true,sat
299131044,CLIA_Track/fg_array_search_11.sl,4786902,Euphony,11902,default,219874,complete,8.84199,8.84337,346764.0,correct,correct,496,(findIdx 496),true,sat
299131045,CLIA_Track/fg_array_search_11.sl,4786902,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.41,3600.01,486808.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131046,CLIA_Track/fg_array_search_11.sl,4786902,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.062985,0.059316,113120.0,correct,correct,1196,(findIdx 1196),true,sat
299131047,CLIA_Track/fg_array_search_11.sl,4786902,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.27,3600.02,487896.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131048,CLIA_Track/fg_array_search_11.sl,4786902,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.076877,0.0719889,113120.0,correct,correct,1736,(findIdx 1736),true,sat
299131049,CLIA_Track/fg_array_search_11.sl,4786902,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.070303,0.0670279,113120.0,correct,correct,1196,(findIdx 1196),true,sat
299131050,CLIA_Track/fg_array_search_11.sl,4786902,DryadSynth,12292,autothreads,223920,timeout (wallclock),9799.67,3600.06,3.7622852E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131051,CLIA_Track/fg_array_search_11.sl,4786902,DryadSynth,12292,default,223921,timeout (wallclock),14289.5,3600.04,3.6039132E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131052,CLIA_Track/fg_array_search_11.sl,4786902,DryadSynth,12292,fallback,223922,timeout (wallclock),3601.71,3600.03,3.5606732E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131053,CLIA_Track/fg_array_search_11.sl,4786902,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14288.4,3600.06,3.5980272E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131054,CLIA_Track/fg_array_search_12.sl,4786903,EUSolver,11893,default,219860,complete,11.7621,11.7694,338412.0,correct,correct,589,(findIdx 589),true,sat
299131055,CLIA_Track/fg_array_search_12.sl,4786903,EUSolver_new,11898,default,219869,complete,11.9895,11.9925,338156.0,correct,correct,589,(findIdx 589),true,sat
299131056,CLIA_Track/fg_array_search_12.sl,4786903,Euphony,11902,default,219874,complete,12.1095,12.1109,347064.0,correct,correct,589,(findIdx 589),true,sat
299131057,CLIA_Track/fg_array_search_12.sl,4786903,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.23,3600.02,500340.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131058,CLIA_Track/fg_array_search_12.sl,4786903,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.075675,0.0708231,113120.0,correct,correct,1495,(findIdx 1495),true,sat
299131059,CLIA_Track/fg_array_search_12.sl,4786903,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.54,3600.01,499632.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131060,CLIA_Track/fg_array_search_12.sl,4786903,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.087536,0.0819139,113120.0,correct,correct,2002,(findIdx 2002),true,sat
299131061,CLIA_Track/fg_array_search_12.sl,4786903,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.082531,0.079472,113120.0,correct,correct,1495,(findIdx 1495),true,sat
299131062,CLIA_Track/fg_array_search_12.sl,4786903,DryadSynth,12292,autothreads,223920,timeout (wallclock),14209.8,3600.05,3.7100124E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131063,CLIA_Track/fg_array_search_12.sl,4786903,DryadSynth,12292,default,223921,timeout (wallclock),14290.9,3600.04,3.59859E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131064,CLIA_Track/fg_array_search_12.sl,4786903,DryadSynth,12292,fallback,223922,timeout (wallclock),3601.98,3600.02,3.5573448E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131065,CLIA_Track/fg_array_search_12.sl,4786903,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14263.5,3600.06,3.612018E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131066,CLIA_Track/fg_array_search_13.sl,4786904,EUSolver,11893,default,219860,complete,16.0193,16.0243,338468.0,correct,correct,690,(findIdx 690),true,sat
299131067,CLIA_Track/fg_array_search_13.sl,4786904,EUSolver_new,11898,default,219869,complete,16.0716,16.0771,338468.0,correct,correct,690,(findIdx 690),true,sat
299131068,CLIA_Track/fg_array_search_13.sl,4786904,Euphony,11902,default,219874,complete,15.9946,15.9975,346376.0,correct,correct,690,(findIdx 690),true,sat
299131069,CLIA_Track/fg_array_search_13.sl,4786904,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.5,3600.02,514444.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131070,CLIA_Track/fg_array_search_13.sl,4786904,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.081613,0.0767519,113120.0,correct,correct,1665,(findIdx 1665),true,sat
299131071,CLIA_Track/fg_array_search_13.sl,4786904,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3600.11,3600.1,510652.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131072,CLIA_Track/fg_array_search_13.sl,4786904,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.100498,0.0935689,113120.0,correct,correct,2287,(findIdx 2287),true,sat
299131073,CLIA_Track/fg_array_search_13.sl,4786904,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.089111,0.0844689,113120.0,correct,correct,1665,(findIdx 1665),true,sat
299131074,CLIA_Track/fg_array_search_13.sl,4786904,DryadSynth,12292,autothreads,223920,timeout (wallclock),14248.4,3600.05,3.636796E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131075,CLIA_Track/fg_array_search_13.sl,4786904,DryadSynth,12292,default,223921,timeout (wallclock),14303.3,3600.06,3.5849564E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131076,CLIA_Track/fg_array_search_13.sl,4786904,DryadSynth,12292,fallback,223922,timeout (wallclock),3601.48,3600.03,3.5603024E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131077,CLIA_Track/fg_array_search_13.sl,4786904,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14311.0,3600.04,3.5912028E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131078,CLIA_Track/fg_array_search_14.sl,4786905,EUSolver,11893,default,219860,complete,21.1397,21.1434,339288.0,correct,correct,799,(findIdx 799),true,sat
299131079,CLIA_Track/fg_array_search_14.sl,4786905,EUSolver_new,11898,default,219869,complete,21.079,21.0815,339288.0,correct,correct,799,(findIdx 799),true,sat
299131080,CLIA_Track/fg_array_search_14.sl,4786905,Euphony,11902,default,219874,complete,21.8499,21.853,346416.0,correct,correct,799,(findIdx 799),true,sat
299131081,CLIA_Track/fg_array_search_14.sl,4786905,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.48,3600.02,453448.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131082,CLIA_Track/fg_array_search_14.sl,4786905,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.095023,0.0904299,113120.0,correct,correct,1894,(findIdx 1894),true,sat
299131083,CLIA_Track/fg_array_search_14.sl,4786905,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.65,3600.03,452912.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131084,CLIA_Track/fg_array_search_14.sl,4786905,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.11204,0.105829,113120.0,correct,correct,2591,(findIdx 2591),true,sat
299131085,CLIA_Track/fg_array_search_14.sl,4786905,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.105069,0.102292,113120.0,correct,correct,1894,(findIdx 1894),true,sat
299131086,CLIA_Track/fg_array_search_14.sl,4786905,DryadSynth,12292,autothreads,223920,timeout (wallclock),14217.8,3600.08,3.6570716E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131087,CLIA_Track/fg_array_search_14.sl,4786905,DryadSynth,12292,default,223921,timeout (wallclock),14297.4,3600.04,3.5981928E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131088,CLIA_Track/fg_array_search_14.sl,4786905,DryadSynth,12292,fallback,223922,timeout (wallclock),3601.73,3600.02,3.5641928E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131089,CLIA_Track/fg_array_search_14.sl,4786905,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14299.3,3600.06,3.5982948E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131090,CLIA_Track/fg_array_search_15.sl,4786906,EUSolver,11893,default,219860,complete,28.331,28.3825,339404.0,correct,correct,916,(findIdx 916),true,sat
299131091,CLIA_Track/fg_array_search_15.sl,4786906,EUSolver_new,11898,default,219869,complete,28.2985,28.3043,339148.0,correct,correct,916,(findIdx 916),true,sat
299131092,CLIA_Track/fg_array_search_15.sl,4786906,Euphony,11902,default,219874,complete,29.0564,29.1195,348588.0,correct,correct,916,(findIdx 916),true,sat
299131093,CLIA_Track/fg_array_search_15.sl,4786906,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.79,3600.11,455560.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131094,CLIA_Track/fg_array_search_15.sl,4786906,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.105729,0.099454,113120.0,correct,correct,2299,(findIdx 2299),true,sat
299131095,CLIA_Track/fg_array_search_15.sl,4786906,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.66,3600.02,453696.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131096,CLIA_Track/fg_array_search_15.sl,4786906,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.118632,0.112161,113120.0,correct,correct,2181,(findIdx 2181),true,sat
299131097,CLIA_Track/fg_array_search_15.sl,4786906,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.116735,0.109839,113120.0,correct,correct,2299,(findIdx 2299),true,sat
299131098,CLIA_Track/fg_array_search_15.sl,4786906,DryadSynth,12292,autothreads,223920,timeout (wallclock),14261.5,3600.08,3.6110496E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131099,CLIA_Track/fg_array_search_15.sl,4786906,DryadSynth,12292,default,223921,timeout (wallclock),14294.8,3600.04,3.591792E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131100,CLIA_Track/fg_array_search_15.sl,4786906,DryadSynth,12292,fallback,223922,timeout (wallclock),3602.04,3600.03,3.5577288E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131101,CLIA_Track/fg_array_search_15.sl,4786906,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14288.2,3600.03,3.591792E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131102,CLIA_Track/fg_array_search_2.sl,4786907,EUSolver,11893,default,219860,complete,0.743448,0.744814,337552.0,correct,correct,19,(findIdx 19),true,sat
299131103,CLIA_Track/fg_array_search_2.sl,4786907,EUSolver_new,11898,default,219869,complete,0.739819,0.740804,336496.0,correct,correct,19,(findIdx 19),true,sat
299131104,CLIA_Track/fg_array_search_2.sl,4786907,Euphony,11902,default,219874,complete,0.936528,0.938487,346164.0,correct,correct,19,(findIdx 19),true,sat
299131105,CLIA_Track/fg_array_search_2.sl,4786907,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,complete,18.6856,18.6921,277616.0,correct,correct,11,(findIdx 11),true,sat
299131106,CLIA_Track/fg_array_search_2.sl,4786907,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.015222,0.014257,113120.0,correct,correct,53,(findIdx 53),true,sat
299131107,CLIA_Track/fg_array_search_2.sl,4786907,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,complete,65.1022,65.1053,285904.0,correct,correct,11,(findIdx 11),true,sat
299131108,CLIA_Track/fg_array_search_2.sl,4786907,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.017562,0.017397,113120.0,correct,correct,107,(findIdx 107),true,sat
299131109,CLIA_Track/fg_array_search_2.sl,4786907,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.016506,0.0165299,113120.0,correct,correct,53,(findIdx 53),true,sat
299131110,CLIA_Track/fg_array_search_2.sl,4786907,DryadSynth,12292,autothreads,223920,complete,95.9954,33.2056,3.8074456E7,correct,correct,21,(findIdx 21),true,sat
299131111,CLIA_Track/fg_array_search_2.sl,4786907,DryadSynth,12292,default,223921,complete,21.0303,7.59153,3.6421696E7,correct,correct,21,(findIdx 21),true,sat
299131112,CLIA_Track/fg_array_search_2.sl,4786907,DryadSynth,12292,fallback,223922,complete,35.6847,34.3224,3.60217E7,correct,correct,21,(findIdx 21),true,sat
299131113,CLIA_Track/fg_array_search_2.sl,4786907,DryadSynth,12292,timeout_change,223923,complete,69.3391,18.5953,3.707834E7,correct,correct,21,(findIdx 21),true,sat
299131114,CLIA_Track/fg_array_search_3.sl,4786908,EUSolver,11893,default,219860,complete,0.85236,1.42204,337536.0,correct,correct,40,(findIdx 40),true,sat
299131115,CLIA_Track/fg_array_search_3.sl,4786908,EUSolver_new,11898,default,219869,complete,0.843496,0.844223,337536.0,correct,correct,40,(findIdx 40),true,sat
299131116,CLIA_Track/fg_array_search_3.sl,4786908,Euphony,11902,default,219874,complete,1.0327,1.09206,347228.0,correct,correct,40,(findIdx 40),true,sat
299131117,CLIA_Track/fg_array_search_3.sl,4786908,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.69,3600.02,507164.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131118,CLIA_Track/fg_array_search_3.sl,4786908,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.017081,0.0163779,113120.0,correct,correct,109,(findIdx 109),true,sat
299131119,CLIA_Track/fg_array_search_3.sl,4786908,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.5,3600.02,476668.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131120,CLIA_Track/fg_array_search_3.sl,4786908,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.022927,0.022012,113120.0,correct,correct,292,(findIdx 292),true,sat
299131121,CLIA_Track/fg_array_search_3.sl,4786908,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.020335,0.020955,113120.0,correct,correct,109,(findIdx 109),true,sat
299131122,CLIA_Track/fg_array_search_3.sl,4786908,DryadSynth,12292,autothreads,223920,timeout (wallclock),14201.8,3600.03,4.9362608E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131123,CLIA_Track/fg_array_search_3.sl,4786908,DryadSynth,12292,default,223921,timeout (wallclock),14276.1,3600.04,4.1779564E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131124,CLIA_Track/fg_array_search_3.sl,4786908,DryadSynth,12292,fallback,223922,timeout (wallclock),3603.21,3600.02,3.7108424E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131125,CLIA_Track/fg_array_search_3.sl,4786908,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14166.0,3600.04,4.0719128E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131126,CLIA_Track/fg_array_search_4.sl,4786909,EUSolver,11893,default,219860,complete,1.00816,1.00886,337660.0,correct,correct,69,(findIdx 69),true,sat
299131127,CLIA_Track/fg_array_search_4.sl,4786909,EUSolver_new,11898,default,219869,complete,1.01079,1.01241,337404.0,correct,correct,69,(findIdx 69),true,sat
299131128,CLIA_Track/fg_array_search_4.sl,4786909,Euphony,11902,default,219874,complete,1.20377,1.20389,345988.0,correct,correct,69,(findIdx 69),true,sat
299131129,CLIA_Track/fg_array_search_4.sl,4786909,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3600.15,3600.11,474140.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131130,CLIA_Track/fg_array_search_4.sl,4786909,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.02158,0.0206649,113120.0,correct,correct,187,(findIdx 187),true,sat
299131131,CLIA_Track/fg_array_search_4.sl,4786909,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.52,3600.02,422348.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131132,CLIA_Track/fg_array_search_4.sl,4786909,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.026506,0.0262561,113120.0,correct,correct,406,(findIdx 406),true,sat
299131133,CLIA_Track/fg_array_search_4.sl,4786909,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.023463,0.022884,113120.0,correct,correct,187,(findIdx 187),true,sat
299131134,CLIA_Track/fg_array_search_4.sl,4786909,DryadSynth,12292,autothreads,223920,timeout (wallclock),10152.0,3600.07,4.2716968E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131135,CLIA_Track/fg_array_search_4.sl,4786909,DryadSynth,12292,default,223921,timeout (wallclock),14282.1,3600.09,3.7981156E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131136,CLIA_Track/fg_array_search_4.sl,4786909,DryadSynth,12292,fallback,223922,timeout (wallclock),3601.8,3600.1,3.5764432E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131137,CLIA_Track/fg_array_search_4.sl,4786909,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14298.4,3600.06,3.7691208E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131138,CLIA_Track/fg_array_search_5.sl,4786910,EUSolver,11893,default,219860,complete,1.27942,1.27982,337688.0,correct,correct,106,(findIdx 106),true,sat
299131139,CLIA_Track/fg_array_search_5.sl,4786910,EUSolver_new,11898,default,219869,complete,1.2737,1.28132,337688.0,correct,correct,106,(findIdx 106),true,sat
299131140,CLIA_Track/fg_array_search_5.sl,4786910,Euphony,11902,default,219874,complete,1.47357,1.47453,347576.0,correct,correct,106,(findIdx 106),true,sat
299131141,CLIA_Track/fg_array_search_5.sl,4786910,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.5,3600.02,439236.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131142,CLIA_Track/fg_array_search_5.sl,4786910,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.025145,0.0234179,113120.0,correct,correct,285,(findIdx 285),true,sat
299131143,CLIA_Track/fg_array_search_5.sl,4786910,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.53,3600.01,439460.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131144,CLIA_Track/fg_array_search_5.sl,4786910,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.03029,0.03465,113120.0,correct,correct,539,(findIdx 539),true,sat
299131145,CLIA_Track/fg_array_search_5.sl,4786910,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.028494,0.027839,113120.0,correct,correct,285,(findIdx 285),true,sat
299131146,CLIA_Track/fg_array_search_5.sl,4786910,DryadSynth,12292,autothreads,223920,timeout (wallclock),14248.1,3600.12,3.9067732E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131147,CLIA_Track/fg_array_search_5.sl,4786910,DryadSynth,12292,default,223921,timeout (wallclock),14231.8,3600.08,3.7437848E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131148,CLIA_Track/fg_array_search_5.sl,4786910,DryadSynth,12292,fallback,223922,timeout (wallclock),3602.51,3600.03,3.6109412E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131149,CLIA_Track/fg_array_search_5.sl,4786910,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14286.1,3600.04,3.7921984E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131150,CLIA_Track/fg_array_search_6.sl,4786911,EUSolver,11893,default,219860,complete,1.67314,1.67498,337768.0,correct,correct,151,(findIdx 151),true,sat
299131151,CLIA_Track/fg_array_search_6.sl,4786911,EUSolver_new,11898,default,219869,complete,1.66229,1.66349,337512.0,correct,correct,151,(findIdx 151),true,sat
299131152,CLIA_Track/fg_array_search_6.sl,4786911,Euphony,11902,default,219874,complete,1.87527,1.876,345828.0,correct,correct,151,(findIdx 151),true,sat
299131153,CLIA_Track/fg_array_search_6.sl,4786911,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.65,3600.01,501412.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131154,CLIA_Track/fg_array_search_6.sl,4786911,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.030357,0.029049,113120.0,correct,correct,372,(findIdx 372),true,sat
299131155,CLIA_Track/fg_array_search_6.sl,4786911,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.5,3600.02,504772.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131156,CLIA_Track/fg_array_search_6.sl,4786911,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.036886,0.0352261,113120.0,correct,correct,691,(findIdx 691),true,sat
299131157,CLIA_Track/fg_array_search_6.sl,4786911,CVC4-061117-sygus-comp-2017,12289,sygus_c_GENERAL,223915,complete,0.033419,0.0324169,113120.0,correct,correct,372,(findIdx 372),true,sat
299131158,CLIA_Track/fg_array_search_6.sl,4786911,DryadSynth,12292,autothreads,223920,timeout (wallclock),14245.6,3600.04,4.086326E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131159,CLIA_Track/fg_array_search_6.sl,4786911,DryadSynth,12292,default,223921,timeout (wallclock),14286.9,3600.05,3.7776952E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131160,CLIA_Track/fg_array_search_6.sl,4786911,DryadSynth,12292,fallback,223922,timeout (wallclock),3601.62,3600.03,3.5697096E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131161,CLIA_Track/fg_array_search_6.sl,4786911,DryadSynth,12292,timeout_change,223923,timeout (wallclock),14269.8,3600.06,3.7098272E7,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131162,CLIA_Track/fg_array_search_7.sl,4786912,EUSolver,11893,default,219860,complete,2.31039,2.31085,338180.0,correct,correct,204,(findIdx 204),true,sat
299131163,CLIA_Track/fg_array_search_7.sl,4786912,EUSolver_new,11898,default,219869,complete,2.3274,2.32788,337924.0,correct,correct,204,(findIdx 204),true,sat
299131164,CLIA_Track/fg_array_search_7.sl,4786912,Euphony,11902,default,219874,complete,2.54944,2.55006,344864.0,correct,correct,204,(findIdx 204),true,sat
299131165,CLIA_Track/fg_array_search_7.sl,4786912,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_Strings,223911,timeout (wallclock),3599.39,3600.01,450544.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131166,CLIA_Track/fg_array_search_7.sl,4786912,CVC4-061117-sygus-comp-2017,12289,sygus_c_CLIA,223912,complete,0.036129,0.034269,113120.0,correct,correct,506,(findIdx 506),true,sat
299131167,CLIA_Track/fg_array_search_7.sl,4786912,CVC4-061117-sygus-comp-2017,12289,sygus_c_PBE_BitVec,223913,timeout (wallclock),3599.7,3600.01,452652.0,unsolved,correct,0,(findIdx -1), n/a (not all solved),not-run
299131168,CLIA_Track/fg_array_search_7.sl,4786912,CVC4-061117-sygus-comp-2017,12289,sygus_c_INV,223914,complete,0.043199,0.041306,113120.0,correct,correct,862,(findIdx 862),true,sat
